WMO_ID,NAME,PROPINSI_NAME,KABUPATEN_NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,CURRENT_ELEVATION_M
97900,Stasiun Meteorologi Mathilda Batlayeri,Maluku,Kab. Kep. Tanimbar,-7.98,131.3,24
97902,Stasiun Geofisika Maluku Tenggara Barat,Maluku,Kab. Kep. Tanimbar,-7.98,131.3,26
97978,Stasiun Klimatologi Merauke,Papua,Kab. Merauke,-8.387,140.517,5
97980,Stasiun Meteorologi Mopah,Papua,Kab. Merauke,-8.52019,140.41568,0
99201,STMKG,Banten,Kota Tangerang,-6.253,106.996,62
99921,Pos Meteorologi Liwa Lampung,Lampung,Kab. Lampung Barat,-5.01732,104.05868,938
99932,Stasiun Geofisika Mataram,Nusa Tenggara Barat,Kota Mataram,-8.56419,116.09987,16
99941,Stasiun Geofisika Kendari,Sulawesi Tenggara,Kota Kendari,-3.96,122.62,10
99992,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah II,Banten,Kota Tangerang Selatan,-6.30253,106.75636,41
99994,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah IV,Sulawesi Selatan,Kota Makassar,-5.14283,119.45227,72
99995,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah V,Papua,Kota Jayapura,-2.57522,140.68624,0
